,oktmo,value,municipal_district_name_short,territory_id,municipal_district_name,municipal_district_type,region_code,region_name
105,03-654-000-000,13.5,Тихорецкий,661,Тихорецкий муниципальный район,муниципальный район,23,Краснодарский край
106,03-655-000-000,11.35135135135135,Туапсинский,662,Туапсинский муниципальный район,муниципальный район,23,Краснодарский край
107,03-656-000-000,-1.4857142857142858,Успенский,663,Успенский муниципальный район,муниципальный район,23,Краснодарский край
108,03-657-000-000,8.048780487804878,Усть-Лабинский,664,Усть-Лабинский муниципальный район,муниципальный район,23,Краснодарский край
109,03-659-000-000,1.9444444444444444,Щербиновский,665,Щербиновский муниципальный район,муниципальный район,23,Краснодарский край
110,03-701-000-000,729.7272727272727,Краснодар,622,городской округ город Краснодар,городской округ,23,Краснодарский край
111,03-703-000-000,245.38095238095238,Анапа,623,городской округ город-курорт Анапа,городской округ,23,Краснодарский край
112,03-705-000-000,52.53658536585366,Армавир,624,городской округ город Армавир,городской округ,23,Краснодарский край
113,03-708-000-000,32.0,Геленджик,625,городской округ город-курорт Геленджик,городской округ,23,Краснодарский край
114,03-709-000-000,63.285714285714285,Горячий Ключ,626,городской округ город Горячий Ключ,городской округ,23,Краснодарский край
115,03-720-000-000,140.1860465116279,Новороссийск,627,городской округ город Новороссийск,городской округ,23,Краснодарский край
116,03-726-000-000,-110.52380952380952,Сочи,628,городской округ город-курорт Сочи,городской округ,23,Краснодарский край
117,03-726-000-000,-110.52380952380952,Сочи,2812,городской округ город-курорт Сочи,городской округ,23,Краснодарский край
118,03-731-000-000,29.83783783783784,Сириус,2748,городской округ Сириус,городской округ,23,Краснодарский край
119,04-545-000-000,-5.875,Пировский,713,Пировский муниципальный округ,муниципальный округ,24,Красноярский край
120,04-555-000-000,-5.529411764705882,Тюхтетский,721,Тюхтетский муниципальный округ,муниципальный округ,24,Красноярский край
121,04-558-000-000,-12.166666666666666,Шарыповский,724,Шарыповский муниципальный округ,муниципальный округ,24,Красноярский край
122,04-601-000-000,-11.052631578947368,Абанский,683,Абанский муниципальный район,муниципальный район,24,Красноярский край
123,04-603-000-000,5.105263157894737,Ачинский,684,Ачинский муниципальный район,муниципальный район,24,Красноярский край
124,04-604-000-000,-7.5675675675675675,Балахтинский,685,Балахтинский муниципальный район,муниципальный район,24,Красноярский край
125,04-605-000-000,39.94871794871795,Березовский,686,Березовский муниципальный район,муниципальный район,24,Красноярский край
126,04-606-000-000,-6.823529411764706,Бирилюсский,687,Бирилюсский муниципальный район,муниципальный район,24,Красноярский край
127,04-608-000-000,-4.702702702702703,Боготольский,688,Боготольский муниципальный район,муниципальный район,24,Красноярский край
128,04-609-000-000,-0.7567567567567568,Богучанский,689,Богучанский муниципальный район,муниципальный район,24,Красноярский край
129,04-610-000-000,-1.2432432432432432,Большемуртинский,690,Большемуртинский муниципальный район,муниципальный район,24,Красноярский край
130,04-611-000-000,-6.0,Большеулуйский,691,Большеулуйский муниципальный район,муниципальный район,24,Красноярский край
131,04-613-000-000,-6.457142857142857,Дзержинский,692,Дзержинский муниципальный район,муниципальный район,24,Красноярский край
132,04-614-000-000,80.1025641025641,Емельяновский,693,Емельяновский муниципальный район,муниципальный район,24,Красноярский край
133,04-615-000-000,-5.45945945945946,Енисейский,694,Енисейский муниципальный район,муниципальный район,24,Красноярский край
134,04-616-000-000,-2.0,Ермаковский,695,Ермаковский муниципальный район,муниципальный район,24,Красноярский край
135,04-617-000-000,-6.303030303030303,Идринский,696,Идринский муниципальный район,муниципальный район,24,Красноярский край
136,04-618-000-000,-14.972972972972974,Иланский,697,Иланский муниципальный район,муниципальный район,24,Красноярский край
137,04-619-000-000,-10.545454545454545,Ирбейский,698,Ирбейский муниципальный район,муниципальный район,24,Красноярский край
138,04-620-000-000,-0.8235294117647058,Казачинский,699,Казачинский муниципальный район,муниципальный район,24,Красноярский край
139,04-621-000-000,-4.7368421052631575,Канский,700,Канский муниципальный район,муниципальный район,24,Красноярский край
140,04-622-000-000,-3.8974358974358974,Каратузский,701,Каратузский муниципальный район,муниципальный район,24,Красноярский край
141,04-624-000-000,-14.055555555555555,Кежемский,702,Кежемский муниципальный район,муниципальный район,24,Красноярский край
142,04-626-000-000,-3.942857142857143,Козульский,703,Козульский муниципальный район,муниципальный район,24,Красноярский край
143,04-628-000-000,-3.111111111111111,Краснотуранский,704,Краснотуранский муниципальный район,муниципальный район,24,Красноярский край
144,04-630-000-000,-8.2,Курагинский,705,Курагинский муниципальный район,муниципальный район,24,Красноярский край
145,04-631-000-000,-2.121212121212121,Манский,706,Манский муниципальный район,муниципальный район,24,Красноярский край
146,04-633-000-000,4.048780487804878,Минусинский,707,Минусинский муниципальный район,муниципальный район,24,Красноярский край
147,04-635-000-000,-9.72972972972973,Мотыгинский,708,Мотыгинский муниципальный район,муниципальный район,24,Красноярский край
148,04-637-000-000,-14.514285714285714,Назаровский,709,Назаровский муниципальный район,муниципальный район,24,Красноярский край
149,04-639-000-000,-14.923076923076923,Нижнеингашский,710,Нижнеингашский муниципальный район,муниципальный район,24,Красноярский край
150,04-641-000-000,-6.606060606060606,Новоселовский,711,Новоселовский муниципальный район,муниципальный район,24,Красноярский край
151,04-643-000-000,-2.4,Партизанский,712,Партизанский муниципальный район,муниципальный район,24,Красноярский край
152,04-645-000-000,-5.875,Пировский,713,Пировский муниципальный район,муниципальный район,24,Красноярский край
153,04-647-000-000,-14.944444444444445,Рыбинский,714,Рыбинский муниципальный район,муниципальный район,24,Красноярский край
154,04-648-000-000,-2.5142857142857142,Саянский,715,Саянский муниципальный район,муниципальный район,24,Красноярский край
155,04-649-000-000,-7.526315789473684,Северо-Енисейский,716,Северо-Енисейский муниципальный район,муниципальный район,24,Красноярский край
156,04-650-000-000,-4.647058823529412,Эвенкийский,726,Эвенкийский муниципальный район,муниципальный район,24,Красноярский край
157,04-651-000-000,-3.7142857142857144,Сухобузимский,717,Сухобузимский муниципальный район,муниципальный район,24,Красноярский край
158,04-652-000-000,-5.5625,Тасеевский,719,Тасеевский муниципальный район,муниципальный район,24,Красноярский край
159,04-653-000-000,-17.56756756756757,Таймырский Долгано-Ненецкий,718,Таймырский Долгано-Ненецкий муниципальный район,муниципальный район,24,Красноярский край
160,04-654-000-000,14.0,Туруханский,720,Туруханский муниципальный район,муниципальный район,24,Красноярский край
161,04-655-000-000,-5.529411764705882,Тюхтетский,721,Тюхтетский муниципальный район,муниципальный район,24,Красноярский край
162,04-656-000-000,0.05405405405405406,Ужурский,722,Ужурский муниципальный район,муниципальный район,24,Красноярский край
163,04-657-000-000,2.1621621621621623,Уярский,723,Уярский муниципальный район,муниципальный район,24,Красноярский край
164,04-658-000-000,-12.166666666666666,Шарыповский,724,Шарыповский муниципальный район,муниципальный район,24,Красноярский край
165,04-659-000-000,10.756756756756756,Шушенский,725,Шушенский муниципальный район,муниципальный район,24,Красноярский край
166,04-701-000-000,444.04761904761904,Красноярск,666,городской округ город Красноярск,городской округ,24,Красноярский край
167,04-703-000-000,8.857142857142858,Ачинск,667,городской округ город Ачинск,городской округ,24,Красноярский край
