,oktmo,Административная деятельность_зарплата,Водоснабжение_зарплата,Гос. управление и военн. безопасность_зарплата,Гостиницы и общепит_зарплата,Деятельность экстер. организаций_зарплата,Добыча полезных ископаемых_зарплата,Здравоохранение_зарплата,ИТ и связь_зарплата,Научная и проф. деятельность_зарплата,Обрабатывающие производства_зарплата,Образование_зарплата,Операции с недвижимостью_зарплата,Прочие услуги_зарплата,Сельское хозяйство_зарплата,Спорт и досуг_зарплата,Строительство_зарплата,Торговля_зарплата,Транспортировка и хранение_зарплата,Услуги ЖКХ_зарплата,Финансы и страхование_зарплата,municipal_district_name_short,territory_id,municipal_district_name,municipal_district_type,region_code,region_name,oktmo_nosplit
21,01-618-000-000,33833.35,34467.9125,45312.1,23521.175,,,33159.05,18842.85,39273.525,28070.175,33190.3125,21803.3,25023.966666666664,34897.375,32510.95,57789.875,36945.8,50627.3875,53331.45,42682.825,Косихинский,531,Косихинский муниципальный район,муниципальный район,22,Алтайский край,01618000
22,01-619-000-000,29487.15,30595.25,43656.65,22279.3875,,,30889.05,19924.225,29406.775,33907.05,33396.1625,45029.175,17956.925,25365.925,26645.0375,57651.56666666667,35611.2,42290.65,40997.7,37761.175,Красногорский,532,Красногорский муниципальный район,муниципальный район,22,Алтайский край,01619000
23,01-620-000-000,27285.075,25964.55,49456.2,22208.2375,,87891.925,32214.574999999997,24685.65,30928.0625,33231.25,34055.875,,,42316.2125,33684.925,58198.2,27546.725,34741.65,48746.5375,49072.75,Краснощёковский,533,Краснощёковский муниципальный район,муниципальный район,22,Алтайский край,01620000
24,01-621-000-000,32697.9,22855.525,43193.275,19496.199999999997,,,32081.2875,24804.3,33094.1875,39827.149999999994,35548.85,,,144202.275,24690.625,,34820.6,45837.200000000004,33174.9125,41916.85,Крутихинский,534,Крутихинский муниципальный район,муниципальный район,22,Алтайский край,01621000
25,01-622-000-000,34113.65,38647.4625,54549.9125,,,,38477.225,62664.375,33392.375,41253.2375,35997.675,49937.2625,37698.2,44945.925,34919.7,77641.94285714286,41274.1125,64666.5625,54817.8375,43489.975,Кулундинский,535,Кулундинский муниципальный район,муниципальный район,22,Алтайский край,01622000
26,01-623-000-000,31832.125,26361.4375,44398.1625,27754.675,,48665.9,30988.125,20771.825,35409.4,38789.15,31612.449999999997,63070.875,,41187.75,37819.9,56848.45,34634.075,40198.0125,48248.95,43875.075,Курьинский,536,Курьинский муниципальный район,муниципальный район,22,Алтайский край,01623000
27,01-624-000-000,30536.075,23354.625,46626.65,28600.05,,,34925.1625,31272.025,35228.6875,27582.875,33607.15,30583.35,,47302.3375,29325.1,74686.0,48758.9125,40508.5625,42850.325,50341.475,Кытмановский,537,Кытмановский муниципальный район,муниципальный район,22,Алтайский край,01624000
28,01-625-000-000,28590.2,36701.85,51042.1375,,,,31803.475,35057.100000000006,26498.4,23668.7,33518.975,,,47001.4875,29605.2,39364.575,31841.9125,59756.8375,43329.6125,42297.85,Локтевский,538,Локтевский муниципальный район,муниципальный район,22,Алтайский край,01625000
29,01-626-000-000,26322.8,27440.8875,51459.4875,,,,35576.275,47573.1875,33500.4375,35868.7,33869.1125,36229.600000000006,35006.675,42868.5375,28026.375,,39755.45,41639.075,46199.9875,53742.65,Мамонтовский,539,Мамонтовский муниципальный район,муниципальный район,22,Алтайский край,01626000
30,01-627-000-000,41175.6875,28564.7375,51859.9,20462.975,,,33358.0375,31659.6,37620.3875,37417.18571428571,34776.3,44148.1375,,40297.2375,32851.6375,38981.25,42547.7,48507.8875,38210.075,46751.6,Михайловский,540,Михайловский муниципальный район,муниципальный район,22,Алтайский край,01627000
31,01-628-000-000,35058.625,26514.6,45215.8375,21907.2375,,,33507.075,18187.2,34102.7125,42146.0625,34320.725,23689.25,,43562.125,30282.325,54028.86666666667,38906.8125,47357.25,40353.6625,42001.524999999994,Новичихинский,541,Новичихинский муниципальный район,муниципальный район,22,Алтайский край,01628000
32,01-629-000-000,28478.949999999997,27521.3,44744.875,24737.5625,,,31537.075,31952.3,34376.5875,38993.5625,34318.225,21840.125,,54062.8625,33763.2375,45542.333333333336,38108.325,51750.65,51290.6125,39382.05,Зональный,542,Зональный муниципальный район,муниципальный район,22,Алтайский край,01629000
33,01-630-000-000,29123.35,33075.875,47343.6,27516.399999999998,,,35393.75,38049.0,51142.975,62818.1875,39420.2375,39035.424999999996,21406.725,61509.1375,30560.45,,43428.1,52267.0875,44270.6125,45283.6,Павловский,543,Павловский муниципальный район,муниципальный район,22,Алтайский край,01630000
34,01-631-000-000,36309.875,,45754.875,25607.625,,,34560.8375,27744.025,28308.875,28420.55,34740.5875,,,55836.8375,35143.25,,37427.4,61593.8,36521.1,41687.8125,Панкрушихинский,544,Панкрушихинский муниципальный район,муниципальный район,22,Алтайский край,01631000
35,01-632-000-000,67754.675,35642.375,47298.0625,38278.9375,,,37970.475,36019.775,37182.1125,31403.15,38776.5625,21431.725,21145.8,41847.25,38905.475,61121.833333333336,45842.8,54243.375,53760.175,75694.925,Первомайский,545,Первомайский муниципальный район,муниципальный район,22,Алтайский край,01632000
36,01-633-000-000,26417.550000000003,28177.975,53619.1375,23412.0,,,34033.15,28941.925,35897.45,45930.725,39001.65,59374.275,,54123.0125,29131.2625,51981.23333333334,37759.9,46769.2,46760.0125,42728.9,Петропавловский,546,Петропавловский муниципальный район,муниципальный район,22,Алтайский край,01633000
37,01-634-000-000,36215.375,25754.775,47726.1875,25060.6375,,,33224.9625,35161.1,39830.0375,37448.325,38660.4125,45486.1,,48680.35,32095.65,53576.0,40568.5,42845.8875,42546.125,46559.65,Поспелихинский,547,Поспелихинский муниципальный район,муниципальный район,22,Алтайский край,01634000
38,01-635-000-000,34467.675,28533.725,45801.4125,20881.225,,,30195.2375,36183.425,36695.9875,40926.675,31892.15,44552.225,,41513.3,33491.6875,,39892.1875,47411.237499999996,45376.825,44237.0,Ребрихинский,548,Ребрихинский муниципальный район,муниципальный район,22,Алтайский край,01635000
39,01-636-000-000,37087.425,31356.4875,50101.725,21127.225,,,30641.5,28618.55,27250.9375,36184.65,32176.125,26766.175,30370.975,48481.125,33436.4875,,39508.6125,55456.175,46554.5375,45049.475,Родинский,549,Родинский муниципальный район,муниципальный район,22,Алтайский край,01636000
40,01-637-000-000,28006.475,32678.025,47735.5875,24401.525,,,36016.95,34498.8,39792.8875,29995.25,33740.1375,,,46163.8375,32179.725,,40325.3375,44452.675,46112.6375,47886.675,Романовский,550,Романовский муниципальный район,муниципальный район,22,Алтайский край,01637000
41,01-638-000-000,29380.525,29326.9875,42799.775,26540.55,,87369.3375,39435.0125,104843.1,41354.5625,42779.475,36520.6875,,,35940.2375,34678.5,97036.85,30924.785714285714,70613.0875,49009.675,22272.275,Рубцовский,551,Рубцовский муниципальный район,муниципальный район,22,Алтайский край,01638000
42,01-640-000-000,35282.75,24377.925,49699.4625,35627.3375,,,33291.525,25079.775,40325.5625,53256.3375,33484.95,27188.875,20810.7,56060.925,38518.9125,46094.85,45970.4875,35918.799999999996,45840.3625,47714.0875,Смоленский,552,Смоленский муниципальный район,муниципальный район,22,Алтайский край,01640000
43,01-641-000-000,37068.75,32300.75,43477.475,39206.03333333333,,,28878.575,37984.275,32799.975000000006,60396.8,34380.6,,,59507.5,33591.05,,37304.25,60021.0625,39909.6,22280.3,Суетский,553,Суетский муниципальный район,муниципальный район,22,Алтайский край,01641000
44,01-642-000-000,33299.175,30441.825,47174.5875,32983.1375,,43068.9,29234.85,33059.975,32751.112500000003,55092.4625,33906.0625,36675.0,,55842.6875,34177.55,69819.95999999999,36917.0625,41514.7125,39409.375,45159.9875,Советский,554,Советский муниципальный район,муниципальный район,22,Алтайский край,01642000
45,01-643-000-000,24947.575,,44171.3375,,,,33859.125,22015.05,29298.8875,,31362.8125,35004.65,,21360.9,31120.675,47846.6,35710.525,40805.1,34485.8625,26741.55,Солонешенский,555,Солонешенский муниципальный район,муниципальный район,22,Алтайский край,01643000
46,01-644-000-000,33502.65,22147.8,43376.75,,,,28176.95,30849.125,27220.25,28130.2,30218.425,53393.7,,30481.300000000003,28410.275,46306.46666666667,31438.800000000003,37425.3,46532.775,33973.925,Солтонский,556,Солтонский муниципальный район,муниципальный район,22,Алтайский край,01644000
47,01-645-000-000,28579.525,23036.916666666668,43969.0875,23812.2,,,31640.4625,28026.225,31472.6875,41553.4375,35937.6625,,,44916.4,36019.025,,39806.6125,42488.675,34350.4375,42024.025,Шелаболихинский,557,Шелаболихинский муниципальный район,муниципальный район,22,Алтайский край,01645000
48,01-646-000-000,35474.325,37849.1,45885.4,20582.725,,,28519.0,27636.075,37463.725,29269.325,34073.775,,,32880.175,32986.15,,36593.55,44389.175,37911.0125,41157.475000000006,Табунский,558,Табунский муниципальный район,муниципальный район,22,Алтайский край,01646000
49,01-647-000-000,27955.3,26631.5,47836.775,18583.7375,,,33027.3375,58043.8375,32534.05,41033.537500000006,38153.2125,37784.1,26116.3,59930.575,31983.75,77240.92,43377.0375,61342.274999999994,48369.075,49229.2625,Тальменский,559,Тальменский муниципальный район,муниципальный район,22,Алтайский край,01647000
50,01-648-000-000,33840.05,27482.875,41579.1875,35110.700000000004,,,31467.15,22557.55,30171.575,48421.3125,29859.4875,17512.5,,53392.0375,33998.5,77585.16666666667,38971.2625,45418.75,37666.6625,45129.2125,Тогульский,560,Тогульский муниципальный район,муниципальный район,22,Алтайский край,01648000
51,01-649-000-000,26998.8,,38910.5875,23682.3125,,,35888.1,44406.725,39654.1125,54435.575,38399.45,,22027.775,44859.6,33096.45,,57934.4625,46721.1875,44333.575,45595.9375,Топчихинский,561,Топчихинский муниципальный район,муниципальный район,22,Алтайский край,01649000
52,01-650-000-000,23381.275,31323.375,44797.8875,30490.3625,,,31637.725,22854.175000000003,34836.5625,37311.5,34015.5875,38758.325,11283.45,40324.375,29814.625,44625.35,28569.7125,56024.475,39761.875,40976.9875,Третьяковский,562,Третьяковский муниципальный район,муниципальный район,22,Алтайский край,01650000
53,01-651-000-000,27648.25,33283.525,50105.375,23508.550000000003,,,31830.875,30305.35,32958.1,50553.1125,38783.5875,41100.0,,31531.1125,33165.9875,,41900.9375,54522.9625,50749.225,43223.35,Троицкий,563,Троицкий муниципальный район,муниципальный район,22,Алтайский край,01651000
54,01-652-000-000,32894.2,21212.7375,41037.7125,21675.275,,,30660.975000000002,24979.15,31566.574999999997,35179.2125,31864.1625,72076.375,,37641.325,35546.75,,37498.6125,46469.71666666667,45631.0625,39926.1375,Тюменцевский,564,Тюменцевский муниципальный район,муниципальный район,22,Алтайский край,01652000
55,01-653-000-000,39117.725,25375.7,46739.325,,,,33159.325,26554.325,29705.7625,,35517.737499999996,,,31681.575,30621.025,51470.85,41573.5,52647.9,42468.5125,46343.725,Угловский,565,Угловский муниципальный район,муниципальный район,22,Алтайский край,01653000
56,01-654-000-000,32757.75,25598.3125,46916.1875,21464.7,,,34095.8125,48590.925,31057.975,49025.65,34281.55,31246.25,,48113.3,31696.2,47238.56,34410.5875,39504.75,41449.0375,48355.65,Усть-Калманский,566,Усть-Калманский муниципальный район,муниципальный район,22,Алтайский край,01654000
57,01-655-000-000,29190.225,26506.025,44162.3625,24618.625,,,31799.9,30339.25,30288.875,38159.6,30915.325,,,38339.475,37194.1125,52280.03333333333,36750.2625,36449.075,37008.475,42372.775,Усть-Пристанский,567,Усть-Пристанский муниципальный район,муниципальный район,22,Алтайский край,01655000
